"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Groupe d'âge";"Sexe";"Source de revenu";"Statistiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2005";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"243386";"A";"";"";"0"
"2006";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"249259";"A";"";"";"0"
"2007";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"257126";"A";"";"";"0"
"2008";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"257925";"A";"";"";"0"
"2009";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"264276";"A";"";"";"0"
"2010";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"267226";"A";"";"";"0"
"2011";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"277507";"A";"";"";"0"
"2012";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"283732";"A";"";"";"0"
"2013";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"287050";"A";"";"";"0"
"2014";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"292520";"E";"";"";"0"
"2015";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"288797";"A";"";"";"0"
"2016";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"300958";"A";"";"";"0"
"2017";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"306627";"A";"";"";"0"
"2018";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"315444";"A";"";"";"0"
"2019";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"326655";"A";"";"";"0"
"2020";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"345799";"A";"";"";"0"
"2021";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"356936";"A";"";"";"0"
"1976";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"40400";"";"";"";"0"
"1977";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"39900";"";"";"";"0"
"1978";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"40700";"";"";"";"0"
"1979";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"40500";"";"";"";"0"
"1980";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"39800";"";"";"";"0"
"1981";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"38900";"";"";"";"0"
"1982";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"37500";"";"";"";"0"
"1983";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"36800";"";"";"";"0"
"1984";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"37400";"";"";"";"0"
"1985";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"37400";"";"";"";"0"
"1986";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"38200";"";"";"";"0"
"1987";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"38500";"";"";"";"0"
"1988";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"38200";"";"";"";"0"
"1989";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"39600";"";"";"";"0"
"1990";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"38200";"";"";"";"0"
"1991";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"37700";"";"";"";"0"
"1992";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"37400";"";"";"";"0"
"1993";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"36100";"A";"";"";"0"
"1994";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"37100";"A";"";"";"0"
"1995";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"36700";"A";"";"";"0"
"1996";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"36800";"A";"";"";"0"
"1997";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"36300";"A";"";"";"0"
"1998";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"37600";"A";"";"";"0"
"1999";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"38700";"A";"";"";"0"
"2000";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"39800";"A";"";"";"0"
"2001";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"40600";"A";"";"";"0"
"2002";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"40900";"A";"";"";"0"
"2003";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"40700";"A";"";"";"0"
"2004";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"41700";"A";"";"";"0"
"2005";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"41000";"A";"";"";"0"
"2006";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"41700";"A";"";"";"0"
"2007";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"42500";"A";"";"";"0"
"2008";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"41800";"A";"";"";"0"
"2009";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"42300";"A";"";"";"0"
"2010";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"42300";"A";"";"";"0"
"2011";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"43400";"A";"";"";"0"
"2012";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"44100";"A";"";"";"0"
"2013";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"44400";"A";"";"";"0"
"2014";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"44700";"A";"";"";"0"
"2015";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"44200";"A";"";"";"0"
"2016";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"45700";"A";"";"";"0"
"2017";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"46000";"A";"";"";"0"
"2018";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"46600";"A";"";"";"0"
"2019";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"47900";"A";"";"";"0"
"2020";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"50000";"A";"";"";"0"
"2021";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu moyen (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671657";"7.1.1.1.4";"51200";"A";"";"";"0"
"1976";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"32800";"";"";"";"0"
"1977";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"32900";"";"";"";"0"
"1978";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"33000";"";"";"";"0"
"1979";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"32500";"";"";"";"0"
"1980";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"31300";"";"";"";"0"
"1981";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"31100";"";"";"";"0"
"1982";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"29200";"";"";"";"0"
"1983";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"27800";"";"";"";"0"
"1984";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"27900";"";"";"";"0"
"1985";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"28400";"";"";"";"0"
"1986";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"29500";"";"";"";"0"
"1987";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"29600";"";"";"";"0"
"1988";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"29900";"";"";"";"0"
"1989";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"31300";"";"";"";"0"
"1990";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"29400";"";"";"";"0"
"1991";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"28100";"";"";"";"0"
"1992";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"28400";"";"";"";"0"
"1993";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"27600";"A";"";"";"0"
"1994";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"27800";"A";"";"";"0"
"1995";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"27900";"A";"";"";"0"
"1996";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"27000";"A";"";"";"0"
"1997";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"26900";"A";"";"";"0"
"1998";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"27800";"A";"";"";"0"
"1999";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"29500";"A";"";"";"0"
"2000";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"29800";"A";"";"";"0"
"2001";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"30500";"A";"";"";"0"
"2002";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"31200";"A";"";"";"0"
"2003";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"31000";"A";"";"";"0"
"2004";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"31900";"A";"";"";"0"
"2005";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"31700";"A";"";"";"0"
"2006";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"32000";"A";"";"";"0"
"2007";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"32700";"A";"";"";"0"
"2008";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"32100";"A";"";"";"0"
"2009";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"33100";"A";"";"";"0"
"2010";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"33100";"A";"";"";"0"
"2011";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"33100";"A";"";"";"0"
"2012";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"34300";"A";"";"";"0"
"2013";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"35500";"A";"";"";"0"
"2014";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"35700";"A";"";"";"0"
"2015";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"35200";"A";"";"";"0"
"2016";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"36100";"A";"";"";"0"
"2017";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"36600";"A";"";"";"0"
"2018";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"36900";"A";"";"";"0"
"2019";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"38200";"A";"";"";"0"
"2020";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"40600";"A";"";"";"0"
"2021";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu médian (excluant les zéros)";"Dollars constants de 2021";"429";"unités";"0";"v107671658";"7.1.1.1.5";"41500";"A";"";"";"0"


