Annee,Dette_directe_con_$,Dette_directe_con_%,Passif_net_retraites_ASF,Moins_fonds_generations,Dette_brute_$,Dette_brute_%
2022-2023,253760000000,51.2,6482000000,–18201000000,242041000000,48.8
2021-2022,235821000000,50.3,9486000000,–14993000000,230314000000,49.2
2020-2021,218583000000,49.5,12287000000,–11913000000,218957000000,49.5
2019-2020,192975000000,41.9,14716000000,–8899000000,198792000000,43.2
2018-2019,189029000000,42.8,18362000000,–8293000000,199098000000,45.1
2017-2018,191984000000,45.9,21903000000,–12816000000,201071000000,48.0
2016-2017,189366000000,47.4,24647000000,–10523000000,203490000000,51.0
2015-2016,185124000000,47.8,26745000000,–8522000000,203347000000,52.5
2014-2015,182723000000,48.5,28172000000,–6938000000,203957000000,54.1
2013-2014,174794000000,47.8,28672000000,–5659000000,197807000000,54.1
2012-2013,168612000000,47.5,28492000000,–5238000000,191866000000,54.0
2011-2012,158887000000,46.0,28774000000,–4277000000,183384000000,53.0
2010-2011,147748000000,44.9,29125000000,–3437000000,173436000000,52.7
2009-2010,136074000000,43.1,29921000000,–2677000000,163318000000,51.8
2008-2009,129745000000,41.1,29837000000,–1952000000,157630000000,50.0
2008-2009,124629000000,39.5,29837000000,–1952000000,152514000000,48.4
2007-2008,118032000000,38.5,32426000000,–1233000000,149225000000,48.6
2006-2007,110412000000,37.9,34677000000,–584000000,144505000000,49.6
2005-2006,103339000000,36.8,36389000000,,139728000000,49.7
2004-2005,98842000000,36.2,38052000000,,136894000000,50.2
2003-2004,93325000000,35.9,39906000000,,133231000000,51.2
2002-2003,89083000000,35.6,40052000000,,129135000000,51.5
2001-2002,84451000000,35.3,39461000000,,123912000000,51.8
2000-2001,80108000000,34.7,40454000000,,120562000000,52.2
1999-2000,76166000000,35.2,40595000000,,116761000000,54.0
1998-1999,73803000000,36.7,41629000000,,115432000000,57.4
1997-1998,69995000000,36.2,41530000000,,111525000000,57.6
1996-1997,52625000000,28.4,25461000000,,78086000000,42.2
1995-1996,52886000000,29.1,23624000000,,76510000000,42.0
1994-1995,52468000000,30.1,21997000000,,74465000000,42.7
1993-1994,45160000000,27.3,20483000000,,65643000000,39.7
1992-1993,39231000000,24.3,19668000000,,58899000000,36.5
1991-1992,33106000000,20.9,18143000000,,51249000000,32.4
1990-1991,29637000000,19.0,16227000000,,45864000000,29.4
1989-1990,27699000000,18.4,14320000000,,42019000000,27.9
1988-1989,27091000000,18.8,12597000000,,39688000000,27.6
1987-1988,26819000000,20.3,10883000000,,37702000000,28.6
1986-1987,25606000000,21.3,9353000000,,34959000000,29.1
1985-1986,23633000000,21.4,7998000000,,31631000000,28.6
1984-1985,21216000000,20.5,6729000000,,27945000000,27.0
1983-1984,18880000000,20.0,5545000000,,24425000000,25.9
1982-1983,16485000000,18.8,4489000000,,20974000000,24.0
1981-1982,14184000000,17.2,3428000000,,17612000000,21.3
1980-1981,12247000000,16.4,2420000000,,14667000000,19.7
1979-1980,9472000000,14.2,1598000000,,11070000000,16.6
1978-1979,8325000000,14.0,915000000,,9240000000,15.5
1977-1978,7111000000,13.2,620000000,,7731000000,14.4
1976-1977,6035000000,12.3,354000000,,6389000000,13.1
1975-1976,4955000000,11.8,179000000,,5134000000,12.3
1974-1975,4030000000,10.9,67000000,,4097000000,11.1